date,nav_orig_forward,nav_combined_forward,daily_fwd_tx_cost_usd,daily_fwd_borrow_cost_usd
2025-04-22,1130310.53,1127308.91,0.0,137.5364
2025-04-23,1133850.2,1130710.17,0.0,138.4145
2025-04-24,1146981.39,1143714.26,0.0,127.0897
2025-04-25,1147169.98,1143776.4,0.0,126.4584
2025-04-28,1146972.91,1143451.35,0.0,127.9763
2025-04-29,1149179.12,1145534.2,0.0,123.3582
2025-04-30,1148533.57,1144765.26,0.0,123.3876
2025-05-01,1145939.91,1142042.49,0.0,129.1089
2025-05-02,1151266.05,1147240.57,0.0,128.0631
2025-05-05,1162208.96,1158073.07,0.0,110.4168
2025-05-06,1161457.61,1157212.94,0.0,108.7698
2025-05-07,1163025.38,1158672.98,0.0,107.7316
2025-05-08,1164583.59,1160121.41,0.0,109.7829
2025-05-09,1164029.46,1159458.5,0.0,108.7809
2025-05-12,1172830.22,1168149.27,0.0,109.9921
2025-05-13,1174971.44,1170182.95,0.0,107.5354
2025-05-14,1174349.94,1169456.9,0.0,104.5514
2025-05-15,1176465.7,1171471.78,0.0,100.8791
2025-05-16,1177330.23,1172235.65,0.0,100.6669
2025-05-19,1179016.32,1173582.45,240.702,98.5757
2025-05-20,1178791.5,1173259.46,0.0,98.1789
2025-05-21,1174984.84,1169359.34,0.0,93.463
2025-05-22,1175196.95,1169476.12,0.0,95.3257
2025-05-23,1174116.11,1168302.41,0.0,92.8676
2025-05-27,1179251.09,1173344.99,0.0,92.3979
2025-05-28,1177284.11,1171286.97,0.0,91.0434
2025-05-29,1176310.71,1170219.03,0.0,94.5387
2025-05-30,1176267.98,1170082.99,0.0,93.3161
